jobName,salary,welfare,url,city_display,company,company_size,company_type,emplType,eduLevel,updateDate,workingExp
售前顾问（重庆）,10K-18K,"节日福利,五险一金,包吃,带薪年假,定期体检",https://jobs.zhaopin.com/CC659610127J00314627805.htm,重庆,成都四方伟业软件股份有限公司,500-999人,民营,全职,大专,2019-05-17 00:50:14,3-5年
数据挖掘岗(005143),薪资面议,"五险一金,绩效奖金,餐补,带薪年假,定期体检",https://jobs.zhaopin.com/CC133037278J00220765808.htm,深圳,中信银行股份有限公司信用卡中心,1000-9999人,国企,全职,本科,2019-05-17 00:50:30,3-5年
软件测试工程师,薪资面议,"五险一金,公司重点项目,绩效奖金,餐补,房补",https://jobs.zhaopin.com/CC305493616J00243080302.htm,佛山,碧桂园控股,10000人以上,上市公司,全职,本科,2019-05-17 00:53:00,不限
安全工程师,8K-10K,"五险一金,交通补助,采暖补贴,带薪年假,节日福利",https://jobs.zhaopin.com/CC187363819J00131859415.htm,大连,大商集团股份有限公司,10000人以上,股份制企业,全职,本科,2019-05-17 15:26:24,3-5年
Android开发工程师(005185),薪资面议,"五险一金,绩效奖金,加班补助,餐补,交通补助",https://jobs.zhaopin.com/CC133037278J00218516608.htm,深圳,中信银行股份有限公司信用卡中心,1000-9999人,国企,全职,本科,2019-05-17 00:50:29,3-5年
系统架构师,20K-35K,"五险一金,带薪年假,创业公司,定期体检,绩效奖金",https://jobs.zhaopin.com/CC303043310J00182427104.htm,苏州,阔地教育科技有限公司,100-499人,民营,全职,本科,2019-05-17 00:51:47,5-10年
软件开发高级工程师（web）,8K-16K,"周末双休,五险一金,餐补,节日福利,定期体检",https://jobs.zhaopin.com/CC288706212J00242873706.htm,昆明,新智认知数据服务有限公司,1000-9999人,上市公司,全职,本科,2019-05-17 00:50:32,1-3年
架构师,10K-15K,"周末双休,五险一金",https://jobs.zhaopin.com/CC120151902J00124958414.htm,重庆,北京英孚泰克信息技术股份有限公司,100-499人,民营,全职,本科,2019-05-17 13:29:30,1-3年
资深大数据运维工程师(005353),薪资面议,"五险一金,绩效奖金,加班补助,餐补,交通补助",https://jobs.zhaopin.com/CC133037278J00240470508.htm,深圳,中信银行股份有限公司信用卡中心,1000-9999人,国企,全职,本科,2019-05-17 00:50:29,3-5年
售前工程师,4K-8K,"五险一金,绩效奖金,餐补,通讯补助,带薪年假",https://jobs.zhaopin.com/CC299889087J00194102505.htm,沈阳,同方知网(北京)技术有限公司辽宁分公司,20-99人,外商独资,全职,本科,2019-05-17 00:51:02,1-3年
高级软件开发工程师,6K-8K,"五险一金,股票期权,加班补助,创业公司,周末双休",https://jobs.zhaopin.com/CZ804403220J00134964513.htm,洛阳,洛阳铁维科技有限公司,不限,民营,全职,大专,2019-05-17 00:51:41,3-5年
Java软件开发工程师（中级）,8K-10K,"周末双休,五险一金,年底双薪,加班补助",https://jobs.zhaopin.com/307521483250310.htm,武汉,武汉软帝联合科技有限公司,1000-9999人,合资,全职,大专,2019-05-17 15:37:16,3-5年
java工程师,6K-10K,,https://jobs.zhaopin.com/CZ270630180J00123608103.htm,南宁,南宁市骏腾建设投资有限公司,20-99人,其它,全职,大专,2019-05-17 16:06:29,不限
高级java工程师,8K-10K,"全勤奖,通讯补助,年底双薪,绩效奖金,带薪年假",https://jobs.zhaopin.com/CZ270630180J00310613103.htm,南宁,南宁市骏腾建设投资有限公司,20-99人,其它,全职,大专,2019-05-17 16:06:29,3-5年
java开发工程师(J10265),20K-40K,"五险一金,年底双薪,绩效奖金,餐补,定期体检",https://jobs.zhaopin.com/CC178999717J00125561414.htm,北京,互动峰科技(北京)有限公司,500-999人,外商独资,全职,本科,2019-05-17 15:27:51,3-5年
后台安全开发工程师 (JAVA，成都),10K-15K,"健身俱乐部,免息房贷,周末双休,五险一金,交通补助",https://jobs.zhaopin.com/CC376873529J00296742401.htm,成都,惠州市德赛西威汽车电子股份有限公司,1000-9999人,股份制企业,全职,本科,2019-05-17 00:50:08,1-3年
技术经理（java服务器开发方向）,20K-30K,"14薪,五险一金,绩效奖金,周末双休,餐补",https://jobs.zhaopin.com/CC815420540J00094300615.htm,北京,深圳市前海优普易网络科技有限公司,20-99人,民营,全职,本科,2019-05-17 00:51:17,5-10年
"java和游戏,开发,测试工程师",4K-6K,"周末双休,五险一金,年底双薪,包住,员工旅游",https://jobs.zhaopin.com/CC681050636J00069753014.htm,郑州,郑州凯恩斯信息技术有限公司,20-99人,股份制企业,全职,大专,2019-05-17 15:17:31,不限
信息技术系统管理,6K-8K,,https://jobs.zhaopin.com/CC639734527J00191356605.htm,海口,海南农垦集团财务有限公司,20人以下,国企,全职,本科,2019-05-17 00:52:53,3-5年
高薪诚招：全栈工程师,8K-10K,"五险一金,绩效奖金,带薪年假,免费停车,双休",https://jobs.zhaopin.com/CC527462539J00222562106.htm,福州,福建中防联博商业管理有限公司,100-499人,民营,全职,本科,2019-05-17 15:22:42,1-3年
Android开发工程师,6K-8K,"周末双休,五险一金,包吃,交通补助,定期体检",https://jobs.zhaopin.com/CC320668311J00056063408.htm,大连,大连昱锦传媒有限公司,100-499人,民营,全职,本科,2019-05-17 15:22:46,3-5年
系统架构师,25K-35K,"五险一金,交通补助,绩效奖金,带薪年假,弹性工作",https://jobs.zhaopin.com/CC152759310J00118332115.htm,北京,北京傲锐东源生物科技有限公司,100-499人,外商独资,全职,本科,2019-05-17 00:52:35,3-5年
大数据架构师(005351),薪资面议,"五险一金,绩效奖金,加班补助,餐补,交通补助",https://jobs.zhaopin.com/CC133037278J00240471608.htm,深圳,中信银行股份有限公司信用卡中心,1000-9999人,国企,全职,本科,2019-05-17 00:50:29,5-10年
android讲师,6K-8K,"五险一金,年底双薪,绩效奖金,年终分红,餐补",https://jobs.zhaopin.com/CC532342133J00098394813.htm,哈尔滨,北京华育兴业科技有限公司哈尔滨分公司,100-499人,民营,全职,大专,2019-05-17 15:09:32,不限
研发总监/技术总监/高级研发经理,30K-40K,"节日福利,交通补助,餐补,免费班车",https://jobs.zhaopin.com/130724021261602.htm,北京,北京网库信息技术股份有限公司,1000-9999人,上市公司,全职,本科,2019-05-17 15:21:47,5-10年
高级开发工程师,25K-35K,"周末双休,五险一金,餐补,房补,补充医疗保险",https://jobs.zhaopin.com/CC430492839J00254098204.htm,北京,广联达科技股份有限公司广州分公司,1000-9999人,股份制企业,全职,本科,2019-05-17 15:21:08,5-10年
分布式架构师(005350),薪资面议,"五险一金,绩效奖金,加班补助,餐补,交通补助",https://jobs.zhaopin.com/CC133037278J00240473608.htm,深圳,中信银行股份有限公司信用卡中心,1000-9999人,国企,全职,本科,2019-05-17 00:50:29,5-10年
人工智能岗(005144),薪资面议,"五险一金,绩效奖金,餐补,带薪年假,定期体检",https://jobs.zhaopin.com/CC133037278J00220761308.htm,深圳,中信银行股份有限公司信用卡中心,1000-9999人,国企,全职,本科,2019-05-17 00:50:30,3-5年
IT检查及数据分析岗(005134),薪资面议,"五险一金,绩效奖金,10010,通讯补助,带薪年假",https://jobs.zhaopin.com/CC133037278J00212251908.htm,深圳,中信银行股份有限公司信用卡中心,1000-9999人,国企,全职,本科,2019-05-17 00:50:29,不限
规划分析岗(专家)-数据科学家(005140),薪资面议,"五险一金,绩效奖金,餐补,带薪年假,定期体检",https://jobs.zhaopin.com/CC133037278J00217662008.htm,深圳,中信银行股份有限公司信用卡中心,1000-9999人,国企,全职,硕士,2019-05-17 00:50:30,5-10年
IT风险管理(005347),薪资面议,"五险一金,绩效奖金,加班补助,餐补,交通补助",https://jobs.zhaopin.com/CC133037278J00240489908.htm,深圳,中信银行股份有限公司信用卡中心,1000-9999人,国企,全职,本科,2019-05-17 00:50:30,3-5年
gis开发工程师,10K-20K,"五险一金,交通补助,餐补,通讯补助,带薪年假",https://jobs.zhaopin.com/CC137129927J00214032701.htm,南京,江苏金智科技股份有限公司,1000-9999人,民营,全职,本科,2019-05-17 00:52:24,3-5年
初级程序员,5K-10K,"五险一金,定期体检,员工旅游,节日福利,弹性工作",https://jobs.zhaopin.com/CC341513615J00133038315.htm,大连,北京可兰德网络技术有限公司,20-99人,民营,全职,大专,2019-05-17 00:51:17,1-3年
开发工程师,8K-15K,"不加班,餐补,加班补助,每年多次调薪,全勤奖",https://jobs.zhaopin.com/CZ417871480J00157394613.htm,北京,北京北门逐鹿影视传媒有限公司,20-99人,民营,全职,本科,2019-05-17 15:18:39,3-5年
软件开发工程师,8K-10K,"大牛带队,五险一金,年终分红,加班补助,带薪年假",https://jobs.zhaopin.com/CZ843636780J00109368809.htm,大连,爱德森日进(大连)科技有限公司,20-99人,合资,全职,本科,2019-05-17 15:03:55,1-3年
前端交互开发工程师,8K-10K,"每年多次调薪,周末双休,五险一金,年底双薪,定期体检",https://jobs.zhaopin.com/CC276517039J00063266808.htm,济南,山东八五信息技术有限公司,20-99人,民营,全职,大专,2019-05-17 00:51:11,不限
高级软件开发工程师,10K-20K,大牛带队,https://jobs.zhaopin.com/CZ843636780J00109369409.htm,大连,爱德森日进(大连)科技有限公司,20-99人,合资,全职,本科,2019-05-17 15:04:14,5-10年
单片机工程师,6K-8K,"五险一金,绩效奖金,全勤奖,交通补助,餐补",https://jobs.zhaopin.com/CC281337388J00305004203.htm,无锡,无锡市唛丁科技有限公司,20人以下,民营,全职,大专,2019-05-17 15:04:21,1-3年
